Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
2168,F32,control,12,female,,,,,,,,,,,,,127.8,14.6,,,
2168,F32,control,13,male,,,,,,,,,,,,,145.8,10,,,
2168,F32,control,15,female,,,,,,,,,,,,,128.2,5,,,
2168,F32,control,18,female,,,,,,,,,,,,,133.9,21.7,,,
2168,F32,control,19,male,,,,,,,,,,,,,119.2,13.5,,,
2168,F32,control,24,male,,,,,,,,,,,,,145.6,7.9,,,
2168,F32,control,25,male,,,,,,,,,,,,,140,8.5,,,
2177,F32,control,4,male,,,,,,,,,,,,,171.2,25.6,,,
2177,F32,control,6,female,,,,,,,,,,,,,184.6,14.8,,,
2177,F32,control,7,male,,,,,,,,,,,,,183.9,26,,,
2177,F32,control,13,female,,,,,,,,,,,,,164.2,29,,,
2177,F32,control,14,female,,,,,,,,,,,,,144.3,21.4,,,
2177,F32,control,16,male,,,,,,,,,,,,,187.5,24.3,,,
2177,F32,control,17,female,,,,,,,,,,,,,149.6,28,,,
2177,F32,control,18,female,,,,,,,,,,,,,117.9,10.7,,,
2177,F32,control,19,male,,,,,,,,,,,,,182.1,20.1,,,
2177,F32,control,22,male,,,,,,,,,,,,,155.8,12.7,,,
2179,F32,control,2,male,,,,,,,,,,,,,228.2,7,,,
2179,F32,control,3,male,,,,,,,,,,,,,230.9,0,,,
2179,F32,control,7,male,,,,,,,,,,,,,206.3,7.4,,,
2179,F32,control,8,male,,,,,,,,,,,,,218.2,7.7,,,
2179,F32,control,9,male,,,,,,,,,,,,,204.2,8.8,,,
2179,F32,control,13,female,,,,,,,,,,,,,191.5,21.9,,,
2179,F32,control,15,female,,,,,,,,,,,,,208.6,18.4,,,
2179,F32,control,17,female,,,,,,,,,,,,,200.1,22.4,,,
2179,F32,control,19,male,,,,,,,,,,,,,205.5,6.7,,,
2179,F32,control,20,female,,,,,,,,,,,,,223.7,14.1,,,
2186,F32,control,2,male,,,,,,,,,,,,,119.7,7.4,,,
2186,F32,control,3,male,,,,,,,,,,,,,171,15.5,,,
2186,F32,control,4,female,,,,,,,,,,,,,173.3,23.1,,,
2186,F32,control,5,male,,,,,,,,,,,,,163.5,9.3,,,
2186,F32,control,6,female,,,,,,,,,,,,,176.2,22,,,
2186,F32,control,7,female,,,,,,,,,,,,,160.7,29.2,,,
2186,F32,control,9,male,,,,,,,,,,,,,162.4,13.2,,,
2186,F32,control,11,male,,,,,,,,,,,,,150.8,5.8,,,
2186,F32,control,18,female,,,,,,,,,,,,,139.8,7,,,
2186,F32,control,21,female,,,,,,,,,,,,,105.2,8.6,,,
2187,F32,control,2,male,,,,,,,,,,,,,203.8,5.4,,,
2187,F32,control,7,male,,,,,,,,,,,,,222.7,17.8,,,
2187,F32,control,9,female,,,,,,,,,,,,,156.4,33.4,,,
2187,F32,control,10,female,,,,,,,,,,,,,186.4,18.2,,,
2187,F32,control,12,male,,,,,,,,,,,,,222.4,26.1,,,
2187,F32,control,13,male,,,,,,,,,,,,,218,19.1,,,
2187,F32,control,14,male,,,,,,,,,,,,,138,8.3,,,
2187,F32,control,20,female,,,,,,,,,,,,,197,12.8,,,
2190,F32,control,2,female,,,,,,,,,,,,,131.8,23.1,,,
2190,F32,control,3,female,,,,,,,,,,,,,137.9,20.2,,,
2190,F32,control,4,female,,,,,,,,,,,,,139.3,30.6,,,
2190,F32,control,6,male,,,,,,,,,,,,,167.3,11.9,,,
2190,F32,control,7,male,,,,,,,,,,,,,168.3,22.3,,,
2190,F32,control,12,male,,,,,,,,,,,,,159.9,22.3,,,
